Id,Title,Publication,Publication_Type,Publication_Domain,Link,Author,Date,QAI_Types,Base_Technique,QAI_Integration_Mechanism,Number_Of_Agents,Modality,Number_Of_Input_Modalities,Part_Of_EI_Enhanced_By_QAI,Main_Functionality_Of_Enhanced_Modules,Enhancement_Type,Explanation_Details,Capability_And_Primary_Task,Application_Context,Mobility_Mode,Github_Repo,Quantum_Side_Execution,Quantum_Side_Platform,Embodied_Side_Evaluation,Embodied_Side_Platform,Hybrid_Setting
68,A Modified QPSO for Robotic Vehicle Path Planning,2018 IEEE Congress on Evolutionary Computation (CEC),Conference,Artificial Intelligence,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8477681,P. B. Fernandes; R. C. Limão De Oliveira; J. V. Fonseca Neto,2018,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Position Modality,unimodal,reasoning,Use QPSO to find the best path after giving the path model.,Optimization,Optimization:QPSO finds the best solution to find the most best path,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
69,Hierarchical Motion Planning for Multisteering Tractor–Trailer Mobile Robots with On-Axle Hitching,IEEE/ASME Transactions on Mechatronics,Journal,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7904652,J. Yuan,2017,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Position Modality,unimodal,reasoning,Motion planning is devided into three subproblems.QPSO is used to solve the first subproblem -- plan a collision-free geometric path.,Optimization,Optimization:QPSO optimizes path parameters to consider obstacle avoidance and satisfy constraints on the control inputs of the tractor,Navigation Path Planning,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,Physical embodied platform,Numerical simulation; Pioneer 3 DX robot; Overhead camera tracking,Embodied-side evaluation with classical quantum-inspired execution
70,Evolutionary Fuzzy Integral-Based Gaze Control With Preference of Human Gaze,IEEE Transactions on Cognitive and Developmental Systems,Journal,Artificial Intelligence,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7460083,B. -S. Yoo; J. -H. Kim,2016,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,"Vision,Audio",multimodal,perception,"QEA optimizes seven key parameters to automatically learn human gaze preferences, making robot perception and gaze behavior more human-like.","Optimization,Learning",Optimization:The most direct role of QEA is to optimize the preference parameters in gaze control.Learning:QEA gradually develops the preference of human gaze and learns human preferences based on the difference between the robot’s fixation map and the human’s fixation map.,Human-robot Interaction,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
71,Quantum planning for swarm robotics,ROBOTICS AND AUTONOMOUS SYSTEMS,Journal,Robotics,https://doi.org/10.1016/j.robot.2023.104362,"Chella, Antonio; Gaglio, Salvatore; Mannone, Maria; Pilato, Giovanni; Seidita, Valeria; Vella, Filippo; Zammuto, Salvatore",2023,hybrid,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Incorporating quantum algorithms",multi,Position Modality,unimodal,reasoning,"Quantum logic gate decisions determine the robot’s target position. Grover’s algorithm is used for amplitude amplification to quickly search for collision-free shortest paths in grid space, achieving quadratic speedup in complexity and planning the optimal path.","Representation,Optimization","Representation:The robot positions, target proximity, and feasible paths are all encoded as quantum superposition states and probability amplitudes.Optimization:Grover’s quantum search realizes optimal solution search for path planning.",Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),https://github.com/salvatorezam/quantum-swarm-path-planning,Quantum simulator or software framework,Qiskit; Remote IBM quantum simulators,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
72,Multi-Robot Plume Source Localization by Distributed Quantum-Inspired Guidance With Formation Behavior,IEEE Transactions on Intelligent Transportation Systems,Journal,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10271366,R. -G. Li; H. -N. Wu,2023,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",multi,Enviromental Modality,unimodal,reasoning,QBCN is designed for multi-robot clusters and performs path planning from multiple perspectives.,Optimization,Optimization:Introduce quantum Delta potential well to search for the next optimal position,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
73,Research on quantum particle swarm optimization in mobile robot path planning for aged service,Proceedings of the 30th Chinese Control and Decision Conference,Conference,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8407460,M. -H. Jiao; X. -B. Chen; H. -Q. Liu; Y. -R. Cheng; H. Zhang,2018,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Position Modality,unimodal,reasoning,QBCN is designed for multi-robot clusters and performs path planning from multiple perspectives.,Optimization,Optimization:QBCN optimizes path planning for multi-robot systems from five dimensions.,Navigation Path Planning,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
74,Fuzzy Logic Behavior of Quantum-Controlled Braitenberg Vehicle Agents,"QUANTUM INTERACTION, QI 2018",Conference,Quantum,https://doi.org/10.1007/978-3-030-35895-2_8,"Furtado Cunha, Rebeca Araripe; Sharma, Naman; Toffano, Zeno; Dubois, Francois",2019,quantum-inspired,Fuzzy logic,Quantum probabilistic state representation of random variable distributions,single,light intensity,unimodal,execution,"The composite quantum state induced by current sensory inputs is converted into scalar control signals for the left and right wheels via selected Hermitian logical observables, thereby determining the overall motion of the vehicle.",Control,Control:Wheel control is derived from quantum logic–based fuzzy values,Control,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
75,Fuzzy Control Path Planning of Soccer Robot Relying on Quantum Genetic Algorithm,MOBILE INFORMATION SYSTEMS,Journal,Computer Science,https://doi.org/10.1155/2022/3498258,"Yang, Xiaoming",2022,quantum-inspired,Evolutionary computation,Quantum-inspired parameter update mechanism,single,Position Modality,unimodal,reasoning,"The adaptive QGA serves as the global path reasoning engine, responsible for optimal path search and long-term planning; the adaptive neuro-fuzzy inference system acts as the environmental perception and dynamic decision-making module, in charge of real-time constraint understanding and strategy adjustment.",Optimization,"Optimization:QGA performs global optimal path search and long-term planning in the path space, avoiding local optima.",Navigation Path Planning,Sports,Wheeled Robot,Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
76,Quantum-enhanced artificial potential field method for robust drone swarm shape formation,SCIENTIFIC REPORTS,Journal,Other,https://doi.org/10.1038/s41598-025-25863-y,"Almaameri, Ihab; Blazovics, Laszlo",2025,quantum-inspired,Machine learning(Unspecified),"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",multi,Position Modality,unimodal,reasoning,Quantum-enhanced artificial potential field algorithm serve as an embodied AI online reasoning and decision-making engine for drone swarm coordination,Optimization,Optimization:Break through the limitations of traditional methods through quantum-inspired probabilistic optimization,Coordination,Generic Robotics,Aerial Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Python,Embodied-side evaluation with classical quantum-inspired execution
77,Energy-Aware Swarm Robotics in Smart Microgrids Using Quantum-Inspired Reinforcement Learning,ELECTRONICS,Journal,Other,https://doi.org/10.3390/electronics14214210,"Shili, Mohamed; Hammedi, Salah; Chaoui, Hicham; Nouri, Khaled",2025,quantum-inspired,Reinforcement learning,Quantum-inspired parameter update mechanism,multi,Position Modality,unimodal,reasoning,"QI‑MARL employs quantum‑inspired reinforced exploration, enabling it to better accomplish task allocation in dynamic microgrids.","Probabilistic,Learning",Probabilistic:Construct probability distribution action selection using the idea of quantum superposition.Learning:quantum-inspired reinforced exploration.,Task Allocation Coordination,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,Embodied simulator or benchmark environment,OpenAI Gym; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
78,An Advanced Quantum Optimization Algorithm for Robot Path Planning,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,Journal,Computer Science,https://doi.org/10.1142/S0218126620501224,"Gao, Liming; Liu, Rong; Wang, Fei; Wu, Weizong; Bai, Baohua; Yang, Sa; Yao, Li",2020,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Position Modality,unimodal,reasoning,"QEA is employed to improve path planning via qubit encoding, combined with grid-based environments and the Dijkstra algorithm.",Probabilistic,Probabilistic:Representing variables with quantum probability states strengthens the exploration and search capability of the model.,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
79,Rule Weight Tuned Fuzzy Controller for Robot Manipulator Using Quantum Inspired Firefly Algorithm,POWER ELECTRONICS AND RENEWABLE ENERGY SYSTEMS,Conference,Other,https://doi.org/10.1007/978-81-322-2119-7_12,"Manju, A.; Monasubramaniam, A.",2015,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"Quantum-inspired Firefly Algorithm automatically tunes the rule consequent weights of the fuzzy PD+I controller through global optimization, enabling more precise control output from fuzzy inference and reducing trajectory tracking errors of the robotic manipulator",Optimization,Optimization:QFA optimizes fuzzy inference to reduce error.,Control,Generic Robotics,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
80,Kinematics Parameters Identification for IRB 1400 Using Improved Quantum Behaved Particle Swarm Optimization,"PROCEEDINGS OF THE 2015 INTERNATIONAL CONFERENCE ON COMMUNICATIONS, SIGNAL PROCESSING, AND SYSTEMS",Conference,Computer Science,https://doi.org/10.1007/978-3-662-49831-6_91,"Wang, Fengliang; Wang, Yali; Li, Jie; Fang, Wei",2016,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,Identify kinematic parameter errors of the IRB 1400 robot using Improved Quantum-behaved Particle Swarm Optimization and correct the robot kinematic model.,Optimization,Optimization:IQPSO optimizes and corrects the robot kinematic model,Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
81,A Dead Reckoning Calibration Scheme Based on Optimization with an Adaptive Quantum-Inspired Evolutionary Algorithm for Vehicle Self-Localization,ENTROPY,Journal,Other,https://doi.org/10.3390/e24081128,"Yu, Biao; Zhu, Hui; Xue, Deyi; Xu, Liwei; Zhang, Shijin; Li, Bichun",2022,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,"Proprioception,Position Modality",multimodal,execution,"Using differential GPS as the precise position reference, the quantum evolutionary algorithm (QEA) optimizes the kinematic parameters of dead reckoning",Optimization,Optimization:An adaptive quantum-inspired evolutionary algorithm is used to improve the quality and efficiency of optimization,Kinematics Dynamics Modeling,Generic Robotics,Wheeled Robot,,Classical execution of quantum-inspired method,,Physical embodied platform,MATLAB; Physical robot platforms,Embodied-side evaluation with classical quantum-inspired execution
82,QRDPSO: A new optimization method for swarm robot searching and obstacie avoidance in dynamic environments,INTELLIGENT AUTOMATION AND SOFT COMPUTING,Journal,Artificial Intelligence,https://doi.org/10.32604/iasc.2020.013921,"Mehiar, D. A. F.; Azizul, Z. H.; Loo, C. K.",2020,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,multi,Position Modality,unimodal,reasoning,"In environments with static/dynamic obstacles and communication constraints, iteratively update the position / candidate solution in the search space for each robot in the swarm, enabling the swarm to converge to the global optimum faster and more stably.",Optimization,"Optimization:QPSO locates the optimal solution more efficiently in complex, high-dimensional spaces.",Coordination,Emergency Rescue,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
83,Trajectory Planning in Robot Joint Space Based on Improved Quantum Particle Swarm Optimization Algorithm,APPLIED SCIENCES-BASEL,Journal,Other,https://doi.org/10.3390/app13127031,"Luo, Lan; Guo, Tongbin; Cui, Kangkang; Zhang, Qi",2023,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"The improved QPSO directly enhances the smoothness and precision of trajectory execution by adaptively adjusting the attraction point, population dispersion, and natural selection.",Optimization,Optimization:The improved QPSO is employed for numerical optimization of the mathematical model for trajectory planning in robot joint space.,Control,Manufacturing,Fixed-base Robot,,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
84,A Self-Adaptive Intelligent Control System with Hierarchical Architecture,JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,Journal,Computer Science,https://www.scopus.com/pages/publications/84934291147?origin=resultslist,"Chiang, Cheng-Hsiung; Chen, Liang-Hsuan",2015,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Position Modality,unimodal,execution,IQGA serves as the self-adaptive mechanism of the behavior layer to achieve the dynamic evolution and knowledge generalization of the control rule base.,"Optimization,Control","Optimization:iQGA rapidly searches for the optimal feasible path and control actions for the robot in complex, high-dimensional environment/action spaces.Control:The proposed architecture improves the stability, accuracy, and adaptability of embodied intelligence when performing tasks in unknown environments.",Control,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
85,REDUCING INTERRUPTS AMONG ROBOTS IN QUANTUM-BEHAVED SWARM EXPLORATION WITH MR-LEACH,MALAYSIAN JOURNAL OF COMPUTER SCIENCE,Journal,Computer Science,https://doi.org/10.22452/mjcs.vol34no4.1,"Mehiar, Duaa Abdel Fattah; Azizul, Zati Hakim; Kiong, Loo Chu",2021,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,multi,Position Modality,unimodal,reasoning,It is an engineering optimization that adds the MR‑LEACH communication protocol on top of the QRDPSO algorithm.(base on 82),Optimization,"Optimization:QPSO locates the optimal solution more efficiently in complex, high-dimensional spaces.",Coordination,Emergency Rescue,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
86,A Hybrid Quantum Evolutionary Algorithm with Improved Decoding Scheme for a Robotic Flow Shop Scheduling Problem,MATHEMATICAL PROBLEMS IN ENGINEERING,Journal,Mathematics,https://doi.org/10.1155/2017/3064724,"Lei, Weidong; Manier, Herve; Manier, Marie-Ange; Wang, Xinping",2017,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,reasoning,"QEA strengthens the scheduling reasoning layer of embodied intelligence directly through quantum probability representation, multi-strategy decoding and constraint repair.",Optimization,Optimization:QEA improves the efficiency of searching for optimal solutions in complex high-dimensional spaces.,Coordination,Manufacturing,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
87,Optimal control-based quantum genetic algorithm for a six jointed articulated robotic arm,RESULTS IN CONTROL AND OPTIMIZATION,Journal,Mathematics,https://doi.org/10.1016/j.rico.2025.100584,"Dahassa, Mohamed Salah; Zioui, Nadjet",2025,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Proprioception,unimodal,execution,"The QGA takes the desired end-effector position, current joint states, and joint constraints as inputs, encodes the 6-dimensional joint control vector using quantum bits, performs iterative optimization via quantum rotation gates, and finally outputs the optimal control vector.",Control,Control:QGA directly outputs the contorl vector for the robot arm.,Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,within the article,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
88,Research on Application of Improved Quantum Optimization Algorithm in Path Planning,APPLIED SCIENCES-BASEL,Journal,Other,https://doi.org/10.3390/app14114613,"Du, Zuoqiang; Li, Hui",2024,quantum-inspired,"Evolutionary computation,Swarm intelligence","Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single/multi(both),Position Modality,unimodal,reasoning,"The quantum algorithm maps the path point coordinates to the positions of qubits on the Bloch sphere, takes the shortest 3D Euclidean distance as the optimization objective, and generates the optimal safe path.","Optimization,Representation",Optimization:Employ quantum-inspired optimization algorithms to improve the efficiency of optimal solution search in complex spaces via mechanisms.Representation:The path point coordinates are mapped to the positions of qubits on the Bloch sphere.,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),within the article,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
89,Multi-strategy quantum particle swarm optimization for efficient path planning of mobile robots,JOURNAL OF SUPERCOMPUTING,Journal,Computer Science,https://doi.org/10.1007/s11227-025-07901-8,"Wang, Zeqian; Kawamoto, Kazuhiko; Hirota, Kaoru; Yan, Fei",2025,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Position Modality,unimodal,reasoning,"QPSO leverages quantum-inspired evolutionary principles to improve path search efficiency, and exploits intrinsic quantum randomness to generate stochastic updates for particle positions.","Optimization,Probabilistic","Optimization:The proposed method adopts a quantum-inspired particle swarm optimization framework, which significantly improves the efficiency of searching for collision-free optimal paths in complex environments.Probabilistic:By exploiting intrinsic quantum randomness to generate stochastic updates, the algorithm enhances its capability to model environmental uncertainty.",Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Embodied simulator or benchmark environment,MATLAB; Gazebo,Embodied-side evaluation with classical quantum-inspired execution
90,Optimizing Motion in Nanoscale Robotics: A Hybrid WQPSO-Fuzzy Logic Approach for Dynamic Path Planning,STUDIES IN INFORMATICS AND CONTROL,Journal,Computer Science,https://doi.org/10.24846/v34i2y202506,"Murugaiah, Praveen; Samiappan, Dhandapani; Nagu, Bharathiraja",2025,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,"VIsion,Position Modality,Proprioception",multimodal,reasoning,"WQPSO is responsible for efficient search of the global optimal path and optimization reasoning under constraints, while fuzzy logic handles real-time obstacle avoidance and anthropomorphic decision-making reasoning in uncertain and dynamic environments.","Optimization,Control",Optimization:QPSO plays an optimization role by introducing quantum properties and weighting strategies.Control:Fuzzy logic acts as a controller to output real-time obstacle avoidance commands.,Navigation Path Planning,Manufacturing,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
91,Optimal Trajectory Planning for Minimizing Base Disturbance of a Redundant Space Robot with IQPSO,JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING,Journal,Computer Science,https://doi.org/10.1155/2022/3398810,"Zhang, Jianxia; Yang, Fuchao; Nie, Guanghua; Zhang, Jianxin",2022,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,IQPSO algorithm solves for the optimal smooth trajectory that minimizes base disturbances while satisfying joint constraints.,"Optimization,Control","Optimization:The improved Quantum-behaved Particle Swarm Optimization algorithm is employed to solve the trajectory optimization problem of free-floating space robots, finding the optimal joint trajectory that minimizes base disturbance.Control:The algorithm enables control over base disturbances, enhancing system stability.",Kinematics Dynamics Modeling,Space,Fixed-base Robot,within the article,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
92,Report on optimisation for efficient dynamic task distribution in drone swarms using QRDPSO algorithm,AIN SHAMS ENGINEERING JOURNAL,Journal,Other,https://doi.org/10.1016/j.asej.2024.103237,"Converso, Giuseppe; Mehiar, Duaa; Rukovich, Alexander; Brzhanov, Rashit",2025,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,multi,Position Modality,unimodal,reasoning,"QRDPSO introduces quantum-inspired probabilistic position updates and neighborhood collaborative interactions. Leveraging the concept of quantum superposition, it enables particles (UAVs) to explore the task space according to probability distributions rather than fixed trajectories, while the quantum neighborhood interaction term facilitates real-time sharing of local information.",Optimization,Optimization:The quantum-inspired optimization mechanism improves the search efficiency and convergence speed of RDPSO in complex high-dimensional spaces such as UAV swarm task allocation.,Task Allocation Coordination,Generic Robotics,Aerial Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
93,OPTIMIZING THE OBSTACLE AVOIDANCE TRAJECTORY AND POSITIONING ERROR OF ROBOTIC MANIPULATORS USING MULTIGROUP ANT COLONY AND QUANTUM-BEHAVED PARTICLE SWARM OPTIMIZATION ALGORITHMS,INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING INFORMATION AND CONTROL,Journal,Computer Science,https://doi.org/10.24507/ijicic.17.02.595,"Chen, Yan-Ting; Chen, Wen-Jong",2021,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"After the optimal path of the end effector was determined using the MACO algorithm, the QPSO algorithm was executed to find the optimal positioning error and joint angles of the manipulator for a given optimal trajectory",Optimization,Optimization:QPSO algorithm was executed to find the optimal positioning error,Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
94,Optimization design of a parallel surgical robot with remote center of motion,MECHANISM AND MACHINE THEORY,Journal,Robotics,https://doi.org/10.1016/j.mechmachtheory.2023.105327,"Qiu, Jiahao; Wu, Jun; Zhu, Bin",2023,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,The multi-objective quantum-behaved particle swarm optimization is employed to optimize the mechanism dimensional parameters with the effective workspace volume index (EWVI) and global dexterity index (GDI) as the objectives,Optimization,Optimization: Multi-objective quantum-behaved particle swarm optimizes the mechanism dimensional parameters.,Control,Healthcare,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
95,Improved QPSO with Darwinian evolution theory for three-dimensional path planning of robots,SWARM AND EVOLUTIONARY COMPUTATION,Journal,Artificial Intelligence,https://doi.org/10.1016/j.swevo.2026.102334,"Wang, Mengfan; Chen, Xinglin; Liu, Siyu; Ncube, Sisindisiwe Nomalanga; Ming, Ruotong; Liu, Fuqiang; Luo, Jun; Pu, Huayan",2026,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Position Modality,unimodal,reasoning,"Taking the 3D underwater environment map, start/end points, and robot constraints as inputs, the Quantum-behaved Particle Swarm Optimization performs quantum-enhanced global search to output a collision-free, low-cost 3D optimal path that satisfies navigation constraints, thereby improving the navigation and path planning capabilities of underwater robots.",Optimization,Optimization:QPSO searches for the optimal or sub-optimal navigation path for the robot.,Navigation Path Planning,Generic Robotics,Aquatic Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
96,Path Tracking of an Underwater Snake Robot and Locomotion Efficiency Optimization Based on Improved Pigeon-Inspired Algorithm,JOURNAL OF MARINE SCIENCE AND ENGINEERING,Journal,Other,https://doi.org/10.3390/jmse10010047,"Xu, Bo; Jiao, Mingyu; Zhang, Xianku; Zhang, Dalong",2022,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"QPIO outputs optimal gait parameters based on the real-time state of the snake robot, which drive the joint rotation through the PD controller.","Optimization,Control",Optimization:QPIO selects and outputs optimal gait parameters according to the state to save energy consumption.Control:The PD controller controls the robot motion based on the parameters.,Trajectory Tracking,Generic Robotics,Aquatic Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
97,QPSO-MPC based tracking algorithm for cable-driven continuum robots,FRONTIERS IN NEUROROBOTICS,Journal,Robotics,https://doi.org/10.3389/fnbot.2022.1014163,"Chen, Qi; Qin, Yanan; Li, Gelun",2022,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"QPSO is used to optimize the rolling optimization stage of MPC, overcoming nonlinearity, model mismatch and local optima through global quantum search, thereby improving trajectory tracking accuracy and stability.",Optimization,"Optimization:Optimize the rolling optimization of MPC, and use global quantum search to overcome nonlinearity, model mismatch, and local optima.",Trajectory Tracking,Generic Robotics,Fixed-base Robot,Null,Classical execution of quantum-inspired method,,Physical embodied platform,Numerical simulation; Physical robot platforms,Embodied-side evaluation with classical quantum-inspired execution
98,FA-QABC-MRTA: a solution for solving the multi-robot task allocation problem,INTELLIGENT SERVICE ROBOTICS,Journal,Robotics,https://doi.org/10.1007/s11370-019-00291-w,"Zitouni, Farouq; Maamri, Ramdane; Harous, Saad",2019,quantum-inspired,Evolutionary computation,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",multi,Proprioception,unimodal,reasoning,"QGA employs quantum coding to represent task resource requirements, resources and costs of bidding robots, and constraint conditions. It is used for the local optimization of Multi-Robot Task Allocation (MRTA), searching for the legal allocation scheme.",Optimization,Optimization:QGA improves the efficiency of optimal solution search in MRTA's high-dimensional solution space by finding the minimum-cost allocation scheme under constraints.,Task Allocation Coordination,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
99,Trajectory planning for autonomous mobile robot using a hybrid improved QPSO algorithm,SOFT COMPUTING,Journal,Artificial Intelligence,https://doi.org/10.1007/s00500-015-1956-2,"Xue, Tao; Li, Renfu; Tokgo, Myongchol; Ri, Junchol; Han, Gyanghyok",2017,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Position Modality,unimodal,reasoning,The model iteratively optimizes the fitness function via QPSO (LTQPSO) and outputs the optimal collision-free trajectory for the autonomous mobile robot in the environment with random obstacles.,Optimization,"Optimization:QPSO serves as the core optimizer for trajectory planning, responsible for optimal path search, trajectory quality optimization, and online real-time optimization.",Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
